"header line, header line."																
1	15	numberFill	Participant #													
2	15	multipleChoice	Please select your gender	Male	Female	Other										
3	15	numberFill	Please enter your age													
4	15	multipleChoice	Which of the following best describes you?	Strong Democrat	Democrat	Independent Leaning Democrat	Independent Independent Leaning Republican	Republican	Strong Republican							
5	15	multipleChoice	Which best describes your ethnic background	African American	Latino	White/Caucasian	Asian/Pacific Islander	Indian	Native American	Other						
6	15	multipleChoice	"When is the last time that you voted in a national, state, or local election?"	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	Before 2002	I have never voted
7	15	multipleChoice	Are you registered to vote in the United States?	yes	no											
8	15	multipleChoice	"If so, are you registered as a Republican, Democrat, or Independent?"	Republican	Democrat	Indepenent										
9	15	wordFill	Do you happen to know what job or political office is now held by Joe Biden?													
10	15	multipleChoice	Whose responsibility is it to determine if a law is constitutional or not?	The President	The Congress	The Supreme Court										
11	15	wordFill	How much of a majority is required for the U.S. Senate and House to override a presidential veto?                                                                                                                               You may touch the bottom left bottom on the keyboard to insert numbers in your response.													
12	15	multipleChoice	Do you happen to know which party had the most members of the House of Representatives in Washington before the 2010 election?	Democratic Party	Republican Party											
13	15	multipleChoice	What is the difference between the deficit and the debt?	The debt is the combination of previous annual deficits	The deficit is the combination of previous annual debts											
14	15	multipleChoice	"In 2011, my household income (total amount of money made by household members) was:"	"less than $20,000"	"between $20,000 and $40,000"	"between $40,000 and $60,000"	"between $60,000 and $80,000"	"between $80,000 and 100,000"	"between $100,000 and $150,000"	"over $150,000"						
15	15	multipleChoice	Which best describes your highest level of formal education?	No high school	Some high school	Completed high school	Some college	Completed college	Some graduate or professional school	Completed graduate or professional school						
16	15	instruction														
17	15	multipleChoice	"How much did this affect the budget?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      The Flake Amendment, introduced by Republican Congressman Jeff Flake, was passed by the House of Representatives on May 9, 2012.  The amendment would eliminate National Science Foundation's annual $11 million funding of political science research.  [The National Science Foundation’s budget in 2012 was $7.03 billion]"	A lot	A little	Not a lot	Realy not a lot									
18	15	multipleChoice	"How much did this affect the budget?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Republicans on the House Appropriations Committee took what its chairman called a ""wire brush "" to the budget, proposing the removal of $58 billion in non-security discretionary budget funds relative to the fiscal 2011 White House requests. [The federal budget deficit in 2011 was $1.3 trillion]"	A lot	A little	Not a lot	Realy not a lot									
19	15	multipleChoice	"How much did this affect the budget?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      The resolution would cut $942 million from the funds enacted in fiscal 2010 for the Community Development Fund, which includes block grants designed to help rehabilitate housing and invest in primarily low-income neighborhoods. [The federal budget deficit in 2011 was $1.3 trillion]"	A lot	A little	Not a lot	Realy not a lot									
20	15	multipleChoice	"How much did this affect the budget?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      The Department of Labor is set to lose $870 million for the rest of the fiscal year from job training and creation programs,community college curriculums for dislocated workers and a fund that aims to prepare workers for new green jobs. [In 2011, $3.3 billion was spent on Employment and Training Services"	A lot	A little	Not a lot	Realy not a lot									
21	15	instruction	"You will now see a series of number lines, ranging from 0 to 1 billion.  Please place the given number on each number line by touching anywhere on the number line and dragging the indicator to where the number belongs."													
22	15	numberline	280 million	1 Thousand	1 Billion											
23	15	numberline	3 million	1 Thousand	1 Billion											
24	15	numberline	670 thousand	1 Thousand	1 Billion											
25	15	numberline	840 million	1 Thousand	1 Billion											
26	15	numberline	470 thousand	1 Thousand	1 Billion											
27	15	numberline	260 thousand	1 Thousand	1 Billion											
28	15	numberline	530 million	1 Thousand	1 Billion											
29	15	numberline	920 thousand	1 Thousand	1 Billion											
30	15	instruction	Please ask for instructions													
31	15	instruction	"You will now see a series of number lines, ranging from 0 to 1 billion.  Please place the given number on each number line by touching anywhere on the number line and dragging the indicator to where the number belongs."													
32	15	numberline	230 thousand	1 Thousand	1 Billion											
33	15	numberline	320 million	1 Thousand	1 Billion											
34	15	numberline	710 thousand	1 Thousand	1 Billion											
35	15	numberline	850 million	1 Thousand	1 Billion											
36	15	numberline	490 million	1 Thousand	1 Billion											
37	15	numberline	510 thousand	1 Thousand	1 Billion											
38	15	numberline	7 million	1 Thousand	1 Billion											
39	15	numberline	960 thousand	1 Thousand	1 Billion											
40	15	instruction														
41	15	multipleChoice	"How much did this affect the budget?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Repubican Congressman Tom Coburn identified $65 million spent on low-priority National Science Foundation projects. His report criticizes the organization's oversight of grant funding, saying it has led to mismanagement, fraud and abuse as well as a lack of information about the outcomes of research, and says the agency duplicates efforts with other agencies and is bad at prioritizing projects. [The National Science Foundation’s budget in 2012 was $7.03 billion]"	A lot	A little	Not a lot	Realy not a lot									
42	15	multipleChoice	"How much did this affect the budget?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Republicans have come to an agreement on the federal budget for fiscal 2011. The bill, which contains roughly $38 billion in cuts, means slashes in spending for a number of government departments and agencies.  [The federal budget deficit in 2011 was $1.3 trillion]"	A lot	A little	Not a lot	Realy not a lot									
